trip_id,arrival_time,departure_time,stop_id,stop_sequence
ASHDWTPWD04,10:50:00,10:50:00,J22214ASH27_s,6
ASHDWTPWD04,10:52:00,10:52:00,J22214ASH26_n,7
ASHDWTPWD04,10:54:00,10:54:00,J22214ASH25_n,8
ASHDWTPWD04,10:55:00,10:55:00,J22214ASH24_e,9
ASHDWTPWD04,10:56:00,10:56:00,J22214ASH23_e,10
ASHDWTPWD04,10:57:00,10:57:00,J22214ASH22_e,11
ASHDWTPWD04,10:58:00,10:58:00,J22214ASH21_e,12
ASHDWTPWD04,10:59:00,10:59:00,J22214ASH20_s,13
ASHDWTPWD04,11:00:00,11:00:00,J22214ASH19_e,14
ASHDWTPWD04,11:01:00,11:01:00,J22214ASH18_e,15
ASHDWTPWD04,11:02:00,11:02:00,J22214ASH17_e,16
ASHDWTPWD04,11:02:00,11:02:00,J22214ASH16_n,17
ASHDWTPWD04,11:03:00,11:03:00,J22214ASH15_n,18
ASHDWTPWD04,11:04:00,11:04:00,J22214ASH14_e,19
ASHDWTPWD04,11:05:00,11:05:00,J22214ASH13_e,20
ASHDWTPWD04,11:06:00,11:06:00,J22214ASH12_e,21
ASHDWTPWD04,11:07:00,11:07:00,J22214ASH11_e,22
ASHDWTPWD04,11:08:00,11:08:00,J22214ASH10_e,23
ASHDWTPWD04,11:09:00,11:09:00,J22214ASH09_e,24
ASHDWTPWD04,11:10:00,11:10:00,J22214ASH08_e,25
ASHDWTPWD04,11:11:00,11:11:00,J22214ASH07_e,26
ASHDWTPWD04,11:12:00,11:12:00,J22214ASH06_e,27
ASHDWTPWD04,11:13:00,11:13:00,J22214ASH05_e,28
ASHDWTPWD04,11:14:00,11:14:00,J22214ASH04_n,29
ASHDWTPWD04,11:16:00,11:16:00,J22214ASH03_w,30
ASHDWTPWD04,11:18:00,11:18:00,J22214ASH02_e,31
ASHDWTPWD04,11:21:00,11:21:00,J22214ASH01_0,32
OSJACTPWE03,13:00:00,13:00:00,J22214OSJ01_5,1
OSJACTPWE03,13:02:00,13:02:00,J22214OSJ19_s,2
OSJACTPWE03,13:03:00,13:03:00,J22214OSJ18_e,3
OSJACTPWE03,13:04:00,13:04:00,J22214OSJ17_e,4
OSJACTPWE03,13:05:00,13:05:00,J22214OSJ16_e,5
OSJACTPWE03,13:06:00,13:06:00,J22214OSJ15_e,6
OSJACTPWE03,13:08:00,13:08:00,J22214OSJ14_e,7
OSJACTPWE03,13:09:00,13:09:00,J22214OSJ13_n,8
OSJACTPWE03,13:10:00,13:10:00,J22214OSJ12_n,9
OSJACTPWE03,13:11:00,13:11:00,J22214OSJ11_n,10
OSJACTPWE03,13:12:00,13:12:00,J22214OSJ10_n,11
OSJACTPWE03,13:13:00,13:13:00,J22214OSJ09_w,12
OSJACTPWE03,13:14:00,13:14:00,J22214OSJ08_w,13
OSJACTPWE03,13:15:00,13:15:00,J22214OSJ07_w,14
OSJACTPWE03,13:17:00,13:17:00,J22214OSJ06_w,15
OSJACTPWE03,13:18:00,13:18:00,J22214OSJ05_w,16
OSJACTPWE03,13:19:00,13:19:00,J22214OSJ04_w,17
OSJACTPWE03,13:20:00,13:20:00,J22214OSJ03_w,18
OSJACTPWE03,13:21:00,13:21:00,J22214OSJ02_w,19
OSJACTPWE03,13:22:00,13:22:00,J22214OSJ01_5,20
FSZUPTP05,14:30:00,14:30:00,J22214OSJ01_5,1
FSZUPTP05,15:00:00,15:00:00,J22214FSZ02_0,2
FSZUPTP05,15:05:00,15:05:00,J22214FSZ0_3,3
ASHUPTPWD08,18:47:00,18:47:00,J22214ASH01_1,1
ASHUPTPWD08,18:50:00,18:50:00,J22214ASH02_w,2
ASHUPTPWD08,18:52:00,18:52:00,J22214ASH03_e,3
ASHUPTPWD08,18:54:00,18:54:00,J22214ASH04_s,4
ASHUPTPWD08,18:55:00,18:55:00,J22214ASH05_w,5
ASHUPTPWD08,18:56:00,18:56:00,J22214ASH06_w,6
ASHUPTPWD08,18:57:00,18:57:00,J22214ASH07_w,7
ASHUPTPWD08,18:58:00,18:58:00,J22214ASH08_w,8
ASHUPTPWD08,18:59:00,18:59:00,J22214ASH09_w,9
ASHUPTPWD08,19:00:00,19:00:00,J22214ASH10_w,10
ASHUPTPWD08,19:01:00,19:01:00,J22214ASH11_w,11
ASHUPTPWD08,19:02:00,19:02:00,J22214ASH12_w,12
ASHUPTPWD08,19:03:00,19:03:00,J22214ASH13_w,13
ASHUPTPWD08,19:04:00,19:04:00,J22214ASH14_w,14
ASHUPTPWD08,19:05:00,19:05:00,J22214ASH15_s,15
