route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
J22214L04,22214WD,OSJACTPWD05,特別支援学校まわり,5,0,5711312218750976
J22214L02,22214WD,YRKDWTPWD01,金吹橋・藤枝駅方面行き,1,0,5473429012611072
J22214L02,22214WD,YRKDWTPWD11,金吹橋・藤枝駅方面行き,11,0,4874573132595200
J22214L02,22214WE,YRKUPTPWE05,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,5,1,5775124695351296
J22214L01,22214WD,OKBUPTPWD07,大久保行き,7,1,5645478960037888
J22214L04,22214WD,OSJCWTPWD08,泉町まわり,8,1,5078382215692288
J22214L04,22214WD,OSJCWTPWD05,泉町まわり,5,1,5078382215692288
J22214L04,22214WE,OSJCWTPWE02,泉町まわり,2,1,5078382215692288
J22214L03,22214WD,ZZMACTPWD03,青葉町まわり,3,1,5092658686984192
J22214L03,22214WD,ZZMACTPWD04,青葉町まわり,4,1,5651442522128384
J22214L03,22214WE,ZZMACTPWE04,青葉町まわり,4,1,5651442522128384
J22214L02,22214WD,YRKUPTPWD02,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,2,1,5775124695351296
J22214L10,22214ED,FSZUPTP03,富士山静岡空港方面行き,3,1,5205805305430016
J22214L01,22214WD,OKBDWTPWD03,上滝沢行き,3,0,
J22214L04,22214WD,OSJACTPWD06,特別支援学校まわり,6,0,5711312218750976
J22214L02,22214WD,YRKDWTPWD03,金吹橋・藤枝駅方面行き,3,0,4874573132595200
J22214L01,22214WD,OKBUPTPWD05,大久保行き,5,1,5645478960037888
J22214L05,22214WD,ASHDWTPWD08,しずてつストア岡部店前行き,8,0,5890822524370944
J22214L03,22214WD,ZZMACTPWD07,青葉町まわり,7,1,5651442522128384
J22214L03,22214WE,ZZMACTPWE02,青葉町まわり,2,1,5651442522128384
J22214L02,22214WE,YRKUPTPWE01,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,1,1,5775124695351296
J22214L10,22214ED,FSZDWTP04,藤枝駅方面行き,4,0,5669283816275968
J22214L01,22214WD,OKBUPTPWD03,大久保行き,3,1,5645478960037888
J22214L03,22214WD,ZZMACTPWD02,青葉町まわり,2,1,5651442522128384
J22214L03,22214WE,ZZMACTPWE03,青葉町まわり,3,1,5651442522128384
J22214L02,22214WD,YRKUPTPWD07,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,7,1,5403790412873728
J22214L02,22214WE,YRKUPTPWE04,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,4,1,5775124695351296
J22214L03,22214WE,ZZMCWTPWE03,特別支援学校まわり,3,0,5743114304094208
J22214L04,22214WE,OSJACTPWE01,特別支援学校まわり,1,0,5711312218750976
J22214L04,22214WD,OSJACTPWD08,特別支援学校まわり,8,0,5711312218750976
J22214L02,22214WD,YRKUPTPWD08,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,8,1,5403790412873728
J22214L02,22214WD,YRKUPTPWD10,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,10,1,5775124695351296
J22214L02,22214WD,YRKUPTPWD11,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,11,1,5403790412873728
J22214L05,22214WD,ASHDWTPWD01,しずてつストア岡部店前行き,1,0,5890822524370944
J22214L04,22214WD,OSJACTPWD07,特別支援学校まわり,7,0,5711312218750976
J22214L02,22214WD,YRKDWTPWD08,金吹橋・藤枝駅方面行き,8,0,4874573132595200
J22214L04,22214WD,OSJCWTPWD01,泉町まわり,1,1,5078382215692288
J22214L04,22214WE,OSJCWTPWE01,泉町まわり,1,1,5078382215692288
J22214L05,22214WE,ASHUPTPWE01,小布杉行き,1,1,5327872570949632
J22214L05,22214WE,ASHUPTPWE04,小布杉行き,4,1,5327872570949632
J22214L02,22214WE,YRKDWTPWE06,金吹橋・藤枝駅方面行き,6,0,4874573132595200
J22214L01,22214WE,OKBDWTPWE02,上滝沢行き,2,0,
J22214L01,22214WE,OKBUPTPWE03,大久保行き,3,1,5645478960037888
J22214L05,22214WD,ASHUPTPWD05,小布杉行き,5,1,5327872570949632
J22214L04,22214WD,OSJCWTPWD09,泉町まわり,9,1,5078382215692288
J22214L05,22214WE,ASHDWTPWE05,しずてつストア岡部店前行き,5,0,5890822524370944
J22214L04,22214WD,OSJACTPWD02,特別支援学校まわり,2,0,5711312218750976
J22214L04,22214WE,OSJACTPWE02,特別支援学校まわり,2,0,5711312218750976
J22214L02,22214WD,YRKDWTPWD04,金吹橋・藤枝駅方面行き,4,0,5473429012611072
J22214L02,22214WD,YRKDWTPWD05,金吹橋・藤枝駅方面行き,5,0,4874573132595200
J22214L02,22214WD,YRKDWTPWD06,金吹橋・藤枝駅方面行き,6,0,5473429012611072
J22214L01,22214WD,OKBDWTPWD05,上滝沢行き,5,0,
J22214L01,22214WD,OKBDWTPWD06,上滝沢行き,6,0,
J22214L10,22214ED,FSZUPTP07,富士山静岡空港方面行き,7,1,5205805305430016
J22214L05,22214WE,ASHUPTPWE05,小布杉行き,5,1,5327872570949632
J22214L05,22214WD,ASHDWTPWD05,しずてつストア岡部店前行き,5,0,5890822524370944
J22214L03,22214WD,ZZMCWTPWD02,特別支援学校まわり,2,0,5743114304094208
J22214L10,22214ED,FSZDWTP01,藤枝駅方面行き,1,0,5669283816275968
J22214L10,22214ED,FSZUPTP06,富士山静岡空港方面行き,6,1,5205805305430016
J22214L05,22214WD,ASHUPTPWD02,小布杉行き,2,1,5327872570949632
J22214L03,22214WE,ZZMCWTPWE01,特別支援学校まわり,1,0,5743114304094208
J22214L04,22214WD,OSJCWTPWD06,泉町まわり,6,1,5078382215692288
J22214L03,22214WD,ZZMACTPWD08,青葉町まわり,8,1,5651442522128384
J22214L02,22214WD,YRKUPTPWD12,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,12,1,5403790412873728
J22214L01,22214WD,OKBDWTPWD02,上滝沢行き,2,0,
J22214L01,22214WD,OKBUPTPWD06,大久保行き,6,1,5645478960037888
J22214L02,22214WD,YRKUPTPWD03,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,3,1,5775124695351296
J22214L02,22214WE,YRKUPTPWE02,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,2,1,5775124695351296
J22214L01,22214WD,OKBUPTPWD01,大久保行き,1,1,5645478960037888
J22214L04,22214WD,OSJACTPWD03,特別支援学校まわり,3,0,5711312218750976
J22214L03,22214WD,ZZMCWTPWD01,特別支援学校まわり,1,0,5721036024709120
J22214L03,22214WD,ZZMCWTPWD06,特別支援学校まわり,6,0,5743114304094208
J22214L04,22214WD,OSJACTPWD04,特別支援学校まわり,4,0,5711312218750976
J22214L01,22214WD,OKBUPTPWD04,大久保行き,4,1,5645478960037888
J22214L01,22214WE,OKBUPTPWE04,大久保行き,4,1,5645478960037888
J22214L04,22214WD,OSJACTPWD01,特別支援学校まわり,1,0,5711312218750976
J22214L10,22214ED,FSZDWTP03,藤枝駅方面行き,3,0,5669283816275968
J22214L10,22214ED,FSZDWTP05,藤枝駅方面行き,5,0,5669283816275968
J22214L02,22214WD,YRKUPTPWD05,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,5,1,5775124695351296
J22214L04,22214WE,OSJACTPWE06,特別支援学校まわり,6,0,5711312218750976
J22214L02,22214WE,YRKDWTPWE01,金吹橋・藤枝駅方面行き,1,0,4874573132595200
J22214L03,22214WE,ZZMACTPWE05,青葉町まわり,5,1,5651442522128384
J22214L02,22214WD,YRKUPTPWD01,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,1,1,5775124695351296
J22214L05,22214WD,ASHUPTPWD01,小布杉行き,1,1,5327872570949632
J22214L03,22214WD,ZZMACTPWD05,青葉町まわり,5,1,5651442522128384
J22214L02,22214WE,YRKUPTPWE03,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,3,1,5775124695351296
J22214L01,22214WE,OKBDWTPWE03,上滝沢行き,3,0,
J22214L02,22214WE,YRKDWTPWE04,金吹橋・藤枝駅方面行き,4,0,4874573132595200
J22214L02,22214WE,YRKDWTPWE02,金吹橋・藤枝駅方面行き,2,0,4874573132595200
J22214L03,22214WD,ZZMCWTPWD03,特別支援学校まわり,3,0,5688737870643200
J22214L03,22214WE,ZZMCWTPWE02,特別支援学校まわり,2,0,5743114304094208
J22214L05,22214WE,ASHUPTPWE03,小布杉行き,3,1,5327872570949632
J22214L03,22214WE,ZZMCWTPWE05,特別支援学校まわり,5,0,5743114304094208
J22214L04,22214WD,OSJCWTPWD04,泉町まわり,4,1,5078382215692288
J22214L02,22214WD,YRKDWTPWD10,金吹橋・藤枝駅方面行き,10,0,4874573132595200
J22214L01,22214WE,OKBUPTPWE01,大久保行き,1,1,5645478960037888
J22214L05,22214WD,ASHUPTPWD04,小布杉行き,4,1,5327872570949632
J22214L05,22214WD,ASHDWTPWD04,しずてつストア岡部店前行き,4,0,5890822524370944
J22214L04,22214WE,OSJACTPWE03,特別支援学校まわり,3,0,5711312218750976
J22214L03,22214WD,ZZMCWTPWD05,特別支援学校まわり,5,0,5743114304094208
J22214L03,22214WE,ZZMCWTPWE04,特別支援学校まわり,4,0,5743114304094208
J22214L04,22214WD,OSJCWTPWD03,泉町まわり,3,1,5078382215692288
J22214L04,22214WE,OSJCWTPWE06,泉町まわり,6,1,5078382215692288
J22214L03,22214WD,ZZMACTPWD01,青葉町まわり,1,1,5651442522128384
J22214L02,22214WD,YRKUPTPWD06,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,6,1,5403790412873728
J22214L10,22214ED,FSZUPTP05,富士山静岡空港方面行き,5,1,5205805305430016
J22214L05,22214WD,ASHUPTPWD08,小布杉行き,8,1,5327872570949632
J22214L02,22214WE,YRKUPTPWE06,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,6,1,5775124695351296
J22214L02,22214WE,YRKDWTPWE07,金吹橋・藤枝駅方面行き,7,0,4874573132595200
J22214L04,22214WE,OSJACTPWE04,特別支援学校まわり,4,0,5711312218750976
J22214L02,22214WD,YRKUPTPWD09,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,9,1,5775124695351296
J22214L10,22214ED,FSZUPTP01,富士山静岡空港方面行き,1,1,5205805305430016
J22214L04,22214WD,OSJACTPWD09,特別支援学校まわり,9,0,5711312218750976
J22214L02,22214WE,YRKDWTPWE03,金吹橋・藤枝駅方面行き,3,0,4874573132595200
J22214L01,22214WD,OKBUPTPWD02,大久保行き,2,1,5645478960037888
J22214L04,22214WE,OSJACTPWE05,特別支援学校まわり,5,0,5711312218750976
J22214L03,22214WE,ZZMACTPWE01,青葉町まわり,1,1,5651442522128384
J22214L03,22214WE,ZZMACTPWE06,青葉町まわり,6,1,5651442522128384
J22214L10,22214ED,FSZUPTP02,富士山静岡空港方面行き,2,1,5205805305430016
J22214L04,22214WD,OSJCWTPWD07,泉町まわり,7,1,5078382215692288
J22214L05,22214WE,ASHDWTPWE04,しずてつストア岡部店前行き,4,0,5890822524370944
J22214L02,22214WD,YRKDWTPWD07,金吹橋・藤枝駅方面行き,7,0,4874573132595200
J22214L02,22214WD,YRKUPTPWD04,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,4,1,5403790412873728
J22214L02,22214WE,YRKUPTPWE07,瀬戸谷小学校・瀬戸谷温泉ゆらく行き,7,1,5775124695351296
J22214L05,22214WD,ASHUPTPWD06,小布杉行き,6,1,5327872570949632
J22214L05,22214WE,ASHDWTPWE03,しずてつストア岡部店前行き,3,0,5890822524370944
J22214L03,22214WD,ZZMCWTPWD07,特別支援学校まわり,7,0,5743114304094208
J22214L02,22214WD,YRKDWTPWD02,金吹橋・藤枝駅方面行き,2,0,5473429012611072
J22214L05,22214WD,ASHUPTPWD07,小布杉行き,7,1,5327872570949632
J22214L05,22214WD,ASHDWTPWD06,しずてつストア岡部店前行き,6,0,5890822524370944
J22214L04,22214WD,OSJCWTPWD02,泉町まわり,2,1,5078382215692288
J22214L04,22214WE,OSJCWTPWE03,泉町まわり,3,1,5078382215692288
J22214L02,22214WD,YRKDWTPWD09,金吹橋・藤枝駅方面行き,9,0,4874573132595200
J22214L01,22214WE,OKBDWTPWE01,上滝沢行き,1,0,
J22214L05,22214WD,ASHUPTPWD03,小布杉行き,3,1,5327872570949632
J22214L01,22214WE,OKBUPTPWE02,大久保行き,2,1,5645478960037888
J22214L05,22214WE,ASHDWTPWE02,しずてつストア岡部店前行き,2,0,5890822524370944
J22214L04,22214WE,OSJCWTPWE04,泉町まわり,4,1,5078382215692288
J22214L04,22214WE,OSJCWTPWE05,泉町まわり,5,1,5078382215692288
J22214L03,22214WD,ZZMACTPWD06,青葉町まわり,6,1,5651442522128384
J22214L02,22214WE,YRKDWTPWE05,金吹橋・藤枝駅方面行き,5,0,4874573132595200
J22214L10,22214ED,FSZUPTP04,富士山静岡空港方面行き,4,1,5205805305430016
J22214L01,22214WD,OKBDWTPWD04,上滝沢行き,4,0,
J22214L01,22214WE,OKBDWTPWE04,上滝沢行き,4,0,
J22214L05,22214WD,ASHDWTPWD03,しずてつストア岡部店前行き,3,0,5890822524370944
J22214L05,22214WD,ASHDWTPWD07,しずてつストア岡部店前行き,7,0,5890822524370944
J22214L10,22214ED,FSZDWTP06,藤枝駅方面行き,6,0,5669283816275968
J22214L01,22214WD,OKBDWTPWD01,上滝沢行き,1,0,
J22214L05,22214WD,ASHDWTPWD02,しずてつストア岡部店前行き,2,0,5890822524370944
